hub id	hub name (auto fill)	article url												
22	BeoogoLAB	https://www.africinnov.com/fr/news/entretien_avec_mahamadi_rouamba_le_pionnier_de_la_startup_studio_au_burkina_faso	https://www.burkina24.com/2019/02/05/burkina-beoogolab-seme-les-graines-du-e-commerce/											
23	Bidaya	https://www.techinafrica.com/bidaya-moroccos-significant-tech-incubator/	https://businesschief.eu/leadership-and-strategy/bidayas-insight-social-green-tech-morocco											
24	BitHub	https://news.bitcoin.com/kenyas-bithub-africa-mines-bitcoin-using-solar-power/	https://www.howwemadeitinafrica.com/the-journey-so-far-john-wainaina-karanja-founder-bithub-africa/62403/	https://disrupt-africa.com/2016/01/15/bithub-blockchain-incubator-opens-in-kenya/	https://www.ey.com/en_us/digital/tackling-sub-saharan-africa-s-challenges-with-blockchain	https://techcabal.com/2016/01/14/space-kenya-launches-bithub/	https://bitcoinke.io/2018/10/closer-look-mining-operations-bithub-africa/	https://infomineo.com/the-upsurge-of-blockchain-market-in-africa/?utm_campaign=Newsletter%20Subscription&utm_source=hs_email&utm_medium=email&_hsenc=p2ANqtz--hwL25rA_Wxh5Iu566E9DYiw0vGwp4-yHgxDDYjQcrKFoCTeFDus4iM1oz2zeIJzBSiDH8	https://www.prnewswire.com/news-releases/bithubafrica-announces-african-blockchain-opportunity-crowdsale-campaign-to-foster-regions-cryptocurrency-ecosystem-300433891.html					
25	Black Girls Code	https://www.nbcnews.com/know-your-value/feature/how-black-girls-code-transformed-basement-experiment-international-movement-ncna1103431	https://www.wired.com/brandlab/2018/04/rising-voices-black-girls-code/	https://www.cnbc.com/2016/02/19/black-girls-code-aims-to-reboot-diversity-in-tech.html	https://www.forbes.com/sites/natalierobehmed/2013/08/30/black-girls-code-tackles-tech-inclusion/	https://www.papermag.com/black-girl-magic-nike-2641538683.html	https://helloworld.raspberrypi.org/articles/hw-11-black-girls-code	https://www.success.com/how-black-girls-code-is-changing-the-face-of-technology-one-girl-at-a-time/	https://www.edsurge.com/news/2016-10-23-where-diversity-inclusion-and-education-meet-a-conversation-with-black-girls-code-founder-kimberly-bryant	https://www.computerworld.com/article/2877211/black-girls-code-founder-looks-to-expand-skills-outreach-challenges-cios-to-help-the-cause.html				
26	Bond innov	https://www.biospace.com/article/releases/biocitech-sas-gives-support-to-three-start-ups-in-bond-innov-initiative-/												
27	BongoHive	https://techcabal.com/2020/08/19/the-man-behind-zambias-foremost-innovation-hub/		https://disrupt-africa.com/2016/12/15/5-zambian-startups-graduate-from-bongohive-accelerator/	https://annualreport.uncdf.org/article/6469/zambia-regulatory-and-innovation-series	https://www.howwemadeitinafrica.com/the-journey-so-far-lukonga-lindunda-executive-director-bongohive/62640/	https://ventureburn.com/2020/05/zambias-bongohive-opens-applications-for-fintech-challenge/	https://www.uncdf.org/article/5059/uncdf-and-bongohive-launch-fintech4u-accelerator-programme	http://appropriatingtechnology.org/?q=node/8	https://www.opportunitiesforafricans.com/bongohive-fintech-challenge-2020/	https://aaeafrica.org/home/a-look-at-namibias-economy/			
28	Botswana Innovation Hub	https://www.dezeen.com/2020/07/21/botswana-innovation-hub-shop-architects-gaborone/	https://www.aasciences.africa/news/grand-challenges-botswana-new-programme-fund-impressive-innovations	https://www.e-architect.com/africa/botswana-innovation-hub	https://www.designboom.com/architecture/shop-architects-botswana-innovation-center-07-17-2020/	https://www.archdaily.com/160416/update-botswana-innovation-hub-shop	https://www.engineeringnews.co.za/article/botswana-innovation-hub-establishes-a-national-technology-transfer-office-2014-06-23/rep_id:4136	https://www.biztechafrica.com/article/innovation-fund-winners-unveiled/15125/	https://www.bloomberg.com/news/articles/2020-09-18/in-africa-a-silicon-valley-style-tech-hub-emerges	https://www.constructafrica.com/news/construction-botswana-innovation-hub-nearing-completion				
29	BujaHub	https://www.jimbere.org/news/digital-entrepreneurship-unemployment-solution-youth-burundi/												
30	Buni Lab	https://disrupt-africa.com/2015/02/19/tanzanias-buni-hub-builds-3d-printer-made-e-waste/	https://afruturist.medium.com/what-you-need-to-know-about-tanzania-innovation-ecosystem-why-we-are-the-fastest-12ebfc7c32ef	https://edition.cnn.com/2017/11/28/africa/3d-printer-electronic-waste/index.html										
31	C4DLab	https://techcabal.com/2015/05/28/kenyas-c4dlab-opens-registration-for-its-innovation-week/	https://www.unicef.org/innovation/stories/intel-and-university-nairobi-launch-tech-incubator											
32	Cairo Hackerspace	https://egyptindependent.com/cairo-hackerspace-infectiously-inventive/	https://dailynewsegypt.com/2014/09/14/hacking-like-egyptians/	https://hackaday.com/tag/cairo-hackerspace/	https://makezine.com/2016/01/22/cairo-hackerspace-closed-down/	https://www.egypttoday.com/Article/3/104771/Coping-with-Egypt-s-blossoming-digital-technology-scene	https://egyptianstreets.com/2016/12/24/the-egyptian-microbus-changing-the-meaning-of-innovation/							
33	Cape Innovation and Technology Initiative (CITI)	https://bitcoinmagazine.com/business/cape-innovation-technology-initiative-launches-digital-currency-hub-south-africa-1434496453	https://opportunitydesk.org/2019/12/14/youth-in-business-programme-2020/	https://www.investcapetown.com/the-cape-innovation-technology-initiatives-royal-visit/	http://www.findglocal.com/ZA/Cape-Town/122304811238583/Cape-Innovation-%26-Technology-Initiative---CiTi	https://ventureburn.com/2016/02/day-life-citi-ceo-ian-merrington-native-article/	https://www.fdiintelligence.com/article/78314	https://www.gov.za/speeches/new-brand-launched-position-cape-town-and-western-cape-africa%E2%80%99s%C2%A0tech%C2%A0capital%C2%A0-5-nov-2020						
34	Capetown Garage													
35	Centre d'innovation de Lubumbashi Democratic Republic of Congo	https://www.elanrdc.com/south/2018/11/12/cinolu-centre-dinnovation-de-lubumbashi-hsaka	https://www.bizcommunity.com/Article/51/715/213977.html											
36	CENTRE D’AFFAIRES REGIONAL ANOSY	https://www.newsmada.com/2019/07/03/artisanat-secteur-populaire-avec-un-potentiel-de-developpement/												
37	Centre Swahilipot hub	https://liquid.tech/insights/innovation-blog/IoT%20hacking%20on%20the%20coast%20-%20Pwani%20Innovation%20Week	https://www.jambonewsnetwork.com/head-on/swahilipot-hub-more-than-just-technology-and-art-centre/	http://www.unesco.org/new/en/communication-and-information/resources/news-and-in-focus-articles/all-news/news/young_people_shape_kenyas_cultural_heritage_by_digitizing_l/	https://mena.hivos.org/news/hivos-presents-african-crossroads-2019-in-mombasa-kenya/	https://aptantech.com/2018/04/swahilipot-hub-to-host-the-pwani-innovation-week-in-early-december/	https://www.biztechafrica.com/article/seacom-partners-national-museums-kenya-open-mombas/11206/	https://smesouthafrica.co.za/40-hubs-admitted-into-africas-largest-network-of-tech-and-innovation-hubs/						
38	CEPEM Couveuse d’Entreprise pour la Promotion de l’Emploi par la Micro-entreprise	https://www.ledna.org/Entreprenariat-Lancement-du-projet-renforcement-de-capacites-de-la-Couveuse-d.html	https://www.africinnov.com/fr/annuaire/cepem-couveuse-dentreprise-pour-la-promotion-de-le	https://www.topnews.sn/pme-la-mairie-de-dakar-va-accompagner-50-jeunes-entrepreneurs-dakarois/	https://www.xalimasn.com/entreprenariat-et-appui-aux-jeunes-les-villes-de-dakar-et-montreal-sengagent-dans-le-projet-cepem-pour-accompagner-les-dakarois/	https://eequebec.com/communique-lecole-met-son-expertise-au-service-du-developpement-entrepreneurial-de-la-ville-de-dakar/								
39	Cied	https://www.iecd.org/projets/cote-ivoire-appui-aux-petites-entreprises-et-projet-mpe/	http://www.faapa.info/en/2021/02/26/legislatives-2021-la-cied-appelle-au-sens-de-responsabilite-des-acteurs-politiques-pour-des-elections-apaisees/	https://www.fratmat.info/article/211459/politique/eacutelections-leacutegislatives/legislatives-2021-la-cied-sensibilise-a-koumassi	https://www.afrikmag.com/cote-divoire-election-du-31-octobre-la-cied-appelle-a-un-environnement-preelectoral-apaise/									
