Reference,Map 4.3,,,,,,,,,,,
Title,African tech hubs,,,,,,,,,,,
Subtitle,,,,,,,,,,,,
Source,WDR 2016 team.,,,,,,,,,,,
Note,,,,,,,,,,,,
Report URL,http://www.worldbank.org/wdr2016,,,,,,,,,,,
Data URL,http://bit.do/WDR2016-Map4_3,,,,,,,,,,,
,,,,,,,,,,,,
No.,Tech Hub Name,Country ,ISO Code Alpha 2,ISO Code Alpha 3,ISO Numberic Code,City ,URL,Date of foundation,Running Model,,,
74,THINK Technology Incubator ,Rwanda,RW,RWA,646,Kigali,http://www.think.rw,2014,Civil Society Led ,,,
75,Jokkolabs Dakar ,Senegal,SN,SEN,686,Dakar,http://dakar.jokkolabs.net/,2010,civil society Led,,,
76,CTIC Dakar,Senegal,SN,SEN,686,Dakar,(under maintenance! But fb page is very active) http://www.cticdakar.com/,2011,Civil Society Led,,,
77,Africa Living Lab ,Senegal,SN,SEN,686,Dakar,http://www.unidaf.com/ (use Living Lab link),2006,Academic Insitution Led,,,
78,Mobile Senegal ,Senegal,SN,SEN,686,Dakar,http://mobilesenegal.org/,2008,Hybrid Led,,,
79,Jiguene Tech Hub,Senegal,SN,SEN,686,Dakar,http://jjiguenetech.com/,2013,Civil Society Led,,,
80,Jozihub,South Africa,ZA,ZAF,710,Johannesburg,http://jozihub.org/,2013,Civil Society Led,,,
81,Capetown Garage,South Africa,ZA,ZAF,710,Cape Town,www.capetowngarage.com,2013,Civil Society Led ,,,
82,Black Girls Code,South Africa,ZA,ZAF,710,Johannesburg,http://www.blackgirlscode.com/; http://www.meetup.com/BlackGirlsCodeJHB/,2012,Civil Society Led,,,
83,ThoughtWorks,South Africa,ZA,ZAF,710,Johannesburg,http://info.thoughtworks.com/Johannesburg-office.html; http://www.blackgirlscode.com/,2012,Civil Society Led,,,
84,TechinBraam,South Africa,ZA,ZAF,710,Johannesburg,http://techinbraam.co.za,2013,Hybrid Led,,,
85,Startup 90,South Africa,ZA,ZAF,710,Cape Town,"Buchanan Square, Sir Lowry Road, Woodstock, Cape Town, 7925",2013,Civil Society Led,,,
86,Grindstone,South Africa,ZA,ZAF,710,Cape Town,"E5B Century Square Century City Cape Town
Western Cape South Africa
Cape Town, 7446",2013,Civil Society Led ,,,
87,Silicon Cape Initiative,South Africa ,ZA,ZAF,710,Cape Town,http://www.siliconcape.com/,2009,Civil Society Led,,,
88,Impact Amplifier,South Africa ,ZA,ZAF,710,Johannesburg; Capetpwn,www.impactamplifier.co.za,2011,Civil Society Led,,,
89,Codebridge,South Africa ,ZA,ZAF,710,Cape Town,www.codebridge.co.za/,2012,Civil Society Led,,,
90,Angel Hub,South Africa ,ZA,ZAF,710,Stellenbosch ,http://www.angelhub.co.za/,2011,Civil Society Led,,,
91,"Eastern Cape Information--Actually named, Eastern Cape Information Technology Initiative",South Africa ,ZA,ZAF,710,East London,http://www.eciti.co.za,2004,Civil Society Led,,,
92,Cape Innovation and Technology Initiative (CITI),South Africa ,ZA,ZAF,710,Cape Town,http://www.citi.org.za/,1998,Civil Society Led,,,
93,Smart Xchange,South Africa ,ZA,ZAF,710,Durban,http://www.smartxchange.co.za/,2012,Hybrid Led,,,
94,CodedinBraam,South Africa ,ZA,ZAF,710,Johannesburg,http://www.meetup.com/CodedInBraam/,2012,Civil Society Led,,,
95,SoftStart Technology,South Africa ,ZA,ZAF,710,Midrand,www.softstartbti.co.za/2014,2005,Civil Society Led,,,
96,The House 4 Hack,South Africa ,ZA,ZAF,710,Pretoria,www.house4hack.co.za,2010,Civil Society Led,,,
97,mLab Southern Africa,South Africa ,ZA,ZAF,710,Pretoria,www.mlab.co.za/,2011,Civil Society Led,,,
98,Start-up Garage/ 98MPH,South Africa ,ZA,ZAF,710,Capetown,www.88mph.ac/capetown,2012,Hybrid Led,,,
99,IMPACT HUB ,South Africa ,ZA,ZAF,710,Johannesburg,johannesburg.impacthub.net,2012,Civil Society Led,,,
100,Rlabs,South Africa ,ZA,ZAF,710,Cape Town,www.rlabs.org,2008,Civil Society Led,,,
101,Invo Tech incubator,South Africa ,ZA,ZAF,710,Durban,www.invotech.dut.ac.za,2011,Hybrid Led,,,
102,TIH-The Innovation Hub ,South Africa ,ZA,ZAF,710,Pretoria,www.theinnovationhub.com,2012,Government Led,,,
103,Kinu Innovation and Co-Creation Space,Tanzania,TZ,TZA,834,Dar es Salaam,http://www.kinu.co.tz/,2011,Civil Society Led,,,
104,TANZICT,Tanzania,TZ,TZA,834,Dar es Salaam,http://tanzict.or.tz/,2011,Hybrid Led,,,
105,DTBI-Dar Tekinohama Business Incubator ,Tanzania,TZ,TZA,834,Dar es Salaam,http://www.teknohama.or.tz/,2011,Civil Society Led,,,
106,Buni Hub,Tanzania,TZ,TZA,834,Dar es Salaam,http://buni.or.tz/,2013,Civil Society Led,,,
107,Mara Launchpad,Togo,TG,TGO,768,Kampala,http://www.mara-foundation.org/,2012,Civil Society Led,,,
108,Wiki Start Up,Tunisia,TN,TUN,788,Tunis,http://www.wikistartup.tn/,2011,Civil Society Led,,,
109,HIVE colab,Uganda,UG,UGA,800,Kampala,http://hivecolab.org/,2010,Civil Society Led,,,
110,@TheHub,Uganda,UG,UGA,800,Kampala,http://thehubkampala.com/,2011,Civil Society Led,,,
111,Outbox Hub,Uganda,UG,UGA,800,Kampala,http://www.outbox.co.ug/,2012,Civil Society Led,,,
112,Grameen Foundation AppLab,Uganda,UG,UGA,800,Kampala,http://grameen.skipso.us/en/page/grameen-foundation-applab-in-action; http://grameen.skipso.us/en/team/uganda,2003,Civil Society Led,,,
113,Women in Technology Uganda (WITU),Uganda,UG,UGA,800,Kampala,http://witug.org/,2011,Civil Society Led,,,
114,Bongohive Zambia,Zambia,ZM,ZMB,894,Lusaka,http://bongohive.co.zm/,2011,Civil Society Led,,,
115,Sky Hub Initiative,Zimbabwe,ZW,ZWE,716,Bulawayo,http://www.skyhub.co.zw/; (under construction!),2014,Civil Society Led,,,
116,Hypercube Hub,Zimbabwe,ZW,ZWE,716,Harare,http://www.hypercubehub.co/en,2013,Civil Society Led,,,
117,Muzinda Umuzi Hub,Zimbabwe,ZW,ZWE,716,Harare,http://www.muzinda.co.zw/,2013,Civil Society Led,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
